Opportunity Name,Explorer,Opportunity Record Type,Close Date,Stage,Probability (%),Quantity,Sales Price,Product Code,Price Book Entry Id
Bob Hodges - Machu Picchu - 2026,Bob Hodges,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
Karen Wells - Machu Picchu - 2026,Karen Wells,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
Mike Welch - Machu Picchu - 2026,Mike Welch,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
Wes Hardin - Machu Picchu - 2026,Wes Hardin,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
May Chan - Machu Picchu - 2026,May Chan,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
Sarah Phillips - Machu Picchu - 2026,Sarah Phillips,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
Marc Benioff - Machu Picchu - 2026,Marc Benioff,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
Emilee Kendra - Machu Picchu - 2026,Emilee Kendra,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
Brad Anastasio - Machu Picchu - 2026,Brad Anastasio,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
Chris Post - Machu Picchu - 2026,Chris Post,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
Wes Chopra - Machu Picchu - 2026,Wes Chopra,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4JxsAAF
